Date,Narration,Chq./Ref.No.,Deposit Amt.
2026-08-20,Razorpay Payout TXN10001,TXN10001,15000.00
2026-08-21,Razorpay Payout TXN10002,TXN10002,2450.50
2026-08-22,Razorpay Payout TXN10003,TXN10003,9800.00
2026-08-23,Razorpay Payout TXN10004,TXN10004,1250.00
2026-08-24,Razorpay Payout TXN10005,TXN10005,3400.00
2026-08-25,Razorpay Payout TXN10006,TXN10006,890.00
2026-08-26,Razorpay Payout TXN10007,TXN10007,45000.00
2026-08-27,Razorpay Payout TXN10008,TXN10008,120.00
2026-08-28,Razorpay Payout TXN10009,TXN10009,6200.00
2026-08-29,Razorpay Payout TXN10010,TXN10010,3150.00
2026-08-30,Razorpay Payout TXN10011,TXN10011,1050.00
2026-08-31,Razorpay Payout TXN10012,TXN10012,410.00
2026-09-01,Razorpay Payout TXN10013,TXN10013,12300.00
2026-09-02,Razorpay Payout TXN10014,TXN10014,8800.00
2026-09-03,Razorpay Payout TXN10015,TXN10015,2250.00
2026-09-04,Razorpay Payout TXN10016,TXN10016,1400.00
2026-09-05,Razorpay Payout TXN10017,TXN10017,6700.00
2026-09-06,Razorpay Payout TXN10018,TXN10018,900.00
2026-09-07,Razorpay Payout TXN10019,TXN10019,4300.00
2026-09-08,Razorpay Payout TXN10020,TXN10020,11200.00
